,authorId,authorName,title,publishedTime,content,canonicalUrl,createdTime
0,rewank,rewank,Re: [閒聊]為什麼我們班版這麼冷清啊?,Fri Jul 10 22:08:31 2009,  ※ 引述《rewank (rewank)》之銘言：  : ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : :         敢問一下這兩位是誰？  : :         玩asd以及來自海大的skiusan  : 怎麼這麼冷清  : 顆顆  : 大家都去哪了?  忘了說  我要結婚了    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 211.75.101.64  ,https://www.ptt.cc/bbs/AGEC87/M.1247234912.A.7CA.html,07/03/2020 00:06:32
0,lowspeed,加油吧...小惟,Re: [閒聊]為什麼我們班版這麼冷清啊?,Sat Jul 11 01:29:19 2009,  ※ 引述《rewank (rewank)》之銘言：  : ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : :         敢問一下這兩位是誰？  : :         玩asd以及來自海大的skiusan  : 怎麼這麼冷清  : 顆顆  : 大家都去哪了?            都在當潛水夫阿            科科            要結婚了才會冒出水面      --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 124.11.142.155  ,https://www.ptt.cc/bbs/AGEC87/M.1247246961.A.4D8.html,07/03/2020 00:06:33
0,lowspeed,加油吧...小惟,Re: [閒聊]為什麼我們班版這麼冷清啊?,Sat Jul 11 01:58:21 2009,  ※ 引述《rewank (rewank)》之銘言：  : ※ 引述《rewank (rewank)》之銘言：  : : 怎麼這麼冷清  : : 顆顆  : : 大家都去哪了?  : 忘了說  : 我要結婚了            阿你是誰都沒講            連漢東嗎？      --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 124.11.142.155  ,https://www.ptt.cc/bbs/AGEC87/M.1247248703.A.348.html,07/03/2020 00:06:33
0,BlueNi,WINNIE,Re: [閒聊]為什麼我們班版這麼冷清啊?,Fri Aug 14 22:22:30 2009,    我也不知道你是誰...    ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : ※ 引述《rewank (rewank)》之銘言：  : : 忘了說  : : 我要結婚了  :         阿你是誰都沒講  :         連漢東嗎？    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 194.80.33.179  ,https://www.ptt.cc/bbs/AGEC87/M.1250259752.A.09C.html,07/03/2020 00:06:34
0,damiantseng,Damian,Re: [閒聊]為什麼我們班版這麼冷清啊?,Sat Aug 15 12:38:57 2009,  ※ 引述《BlueNi (WINNIE)》之銘言：  :   我也不知道你是誰...  : ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : :         阿你是誰都沒講  : :         連漢東嗎？        我覺得他是來亂板的...      我相信我們班同學不會取這麼不堪的暱稱    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 149.171.238.237  ,https://www.ptt.cc/bbs/AGEC87/M.1250311138.A.E1E.html,07/03/2020 00:06:34
0,lowspeed,加油吧...小惟,Re: [閒聊]為什麼我們班版這麼冷清啊?,Mon Aug 17 22:23:30 2009,  ※ 引述《BlueNi (WINNIE)》之銘言：  :   我也不知道你是誰...  : ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : :         阿你是誰都沒講  : :         連漢東嗎？              haha            聽說長紀今年五月當爸了            阿怎麼都沒請大家吃個雞腿油飯    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 124.11.134.9  ,https://www.ptt.cc/bbs/AGEC87/M.1250519013.A.AC5.html,07/03/2020 00:06:35
0,Kuman,提醒,Re: [閒聊]為什麼我們班版這麼冷清啊?,Fri Oct 16 14:06:09 2009,  ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : ※ 引述《BlueNi (WINNIE)》之銘言：  : :   我也不知道你是誰...  :         haha  :         聽說長紀今年五月當爸了  :         阿怎麼都沒請大家吃個雞腿油飯    哈囉 我是長紀  謝小惟真是關心我    對啊 我家的軒太郎今年5月出生啦  最近滿4個月  我把我老婆的無名相簿放上來跟大家分享喜悅喔  http://www.wretch.cc/album/album.php?id=LovingAzuki&book=77    雞腿油飯的話香港這邊不流行啦  他們都吃薑醋豬腳  有機會來香港做事或是玩的同學  記得與我連絡一下啊    用msn或是email啦  ptt n年才會上一次~~    --  ※ 發信站: 批踢踢實業坊(ptt.cc)  ◆ From: 59.148.244.238  ※ 編輯: Kuman           來自: 59.148.244.238       (10/16 14:06)  ,https://www.ptt.cc/bbs/AGEC87/M.1255673174.A.C2C.html,07/03/2020 00:06:36
0,lowspeed,加油吧...小惟,Re: [閒聊]為什麼我們班版這麼冷清啊?,Sat Oct 17 08:43:02 2009,  ※ 引述《Kuman (提醒)》之銘言：  : ※ 引述《lowspeed (加油吧...小惟)》之銘言：  : :         haha  : :         聽說長紀今年五月當爸了  : :         阿怎麼都沒請大家吃個雞腿油飯  : 哈囉 我是長紀  : 謝小惟真是關心我  : 對啊 我家的軒太郎今年5月出生啦  : 最近滿4個月  : 我把我老婆的無名相簿放上來跟大家分享喜悅喔  : http://www.wretch.cc/album/album.php?id=LovingAzuki&book=77  : 雞腿油飯的話香港這邊不流行啦  : 他們都吃薑醋豬腳  : 有機會來香港做事或是玩的同學  : 記得與我連絡一下啊  : 用msn或是email啦  : ptt n年才會上一次~~              哈哈            你老婆的研究所同學是我現在的同學            她有看妳老婆的blog，跟我爆料的            恭喜你啦            blog還滿精彩的，妳老婆對運動明星還滿了的嘛            連多明尼克‧威金斯還認得            厲害    --  ꄠ       ╭────╮────╮─╮╭─╮────╮─╮╭─╮────╮       !!  │ ╭─╮ │ ╭─╮ │  ││  │╭──╮│   ╲   │        │   —○／  │ ╰─╯＜  ╰─╯＜╲  ─  ╱ ╰──╯│        │╮    ╭╯    ─○︿ │╭──╮│  ╭╮  ││    ││  ╭╮  │   ╲   ││    │  Kobe ﹨●│╰──╯│  ││  ││    ││  ││  │  ││  ││    │      〈 ﹀╰────╯─╯╰─╯╰──╯╰─╯╰─╯─╯╰─╯╰──╯    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 124.12.8.163  ,https://www.ptt.cc/bbs/AGEC87/M.1255740187.A.717.html,07/03/2020 00:06:36
0,corruptmusic,Ted,[閒聊] ,Sun May 23 02:43:25 2010,    這個故事要從2009年12月說起。    三位台大農經系學生看到了Google網路行銷競賽的網宣，產生了極大的興趣。    為了將團隊成員多元化，招募了國企系、物理系、財金所的夥伴    但是......團隊中沒有人懂Google AdWords(關鍵字廣告)    因此，他們冒昧寄信給素昧平生的資工系陳彥仰老師   請他擔任指導老師，    很幸運地，老師答應了。    因為這比賽必須有合作企業，他們找到了著名的手工巧克力店－七見櫻堂。    從期末考開始、春節假期、開學、期中考，開了無數次的會議，    為的不是豐厚的獎金，因為Google沒有提供獲勝獎金......    而是那遙不可及的夢想：拿到全球冠軍參訪美國Google總部。    很多人笑他們好傻好天真，參加一個沒有獎金的比賽，    不像其他比賽提供豐厚的獎金或獎品，    但他們仍舊堅持自己的夢想，縱使看似不可能實現。    在這過程中經過衝突與協調，他們一起走到最後2天，    現在您只要花5秒鐘點下面的連結，點擊七見櫻堂的廣告  http://tinyurl.com/2dwhr5w http://tinyurl.com/24eu9mv    就是最他們最大的支持與鼓勵。    謝謝您。      --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 140.112.218.165  → damiantseng:你是哪位啊? 把全名寫出來 05/23 09:43  噓 nicetomeetu:哈，我先開砲了...我看不到原po的誠意 05/25 12:39  → v2:這兒幾百年沒文章 一po就被噓 樓上真不留情 p.s.當然不是我po的 05/30 20:49  ,https://www.ptt.cc/bbs/AGEC87/M.1274553807.A.19E.html,07/03/2020 00:06:37
0,lowspeed,加油吧...小惟,Re: [閒聊] ,Wed Jun  2 00:04:56 2010,  ※ 引述《corruptmusic (Ted)》之銘言：  : 標題: [閒聊]  : 時間: Sun May 23 02:43:25 2010  :  :  : --  : ※ 發信站: 批踢踢實業坊(ptt.cc)  : ◆ From: 140.112.218.165  : → damiantseng:你是哪位啊? 把全名寫出來                            05/23 09:43  : 噓 nicetomeetu:哈，我先開砲了...我看不到原po的誠意                 05/25 12:39  : → v2:這兒幾百年沒文章 一po就被噓 樓上真不留情 p.s.當然不是我po的  05/30 20:49              原來大家都在阿            哈哈            這篇文章還是有價值低              不過話說回來            大家火氣還真大阿            哈哈哈    --  ※ 發信站: 批踢踢實業坊(ptt.cc)   ◆ From: 124.12.6.214  ,https://www.ptt.cc/bbs/AGEC87/M.1275408299.A.9D2.html,07/03/2020 00:06:37
0,PTTjane,jane wu,[情報] 農經系粉絲專頁上線囉！,Thu Oct  9 10:19:01 2014,  各位農經系的學長姐大家好~~  小妹是103年系學會新任資訊部部長  今年我們的工作重點之一為  「加強經營農經系facebook粉絲專頁」  讓更多人可以認識農經  也讓我們的曝光度增加  由衷希望學長姐也能幫我們的粉絲專頁按讚或留言指教  學弟妹們都很希望可以得到學長姐的建議喔！！    農經粉專連結：http://ppt.cc/8Ydu    謝謝大家！！！>///<    --  ,https://www.ptt.cc/bbs/AGEC87/M.1412821144.A.175.html,07/03/2020 00:06:38
0,YuiIsMyWife,新垣結衣我老婆,[情報] 農經粉專上線囉,Wed Oct 18 18:22:21 2017,  各位農經系的學長姐大家好~~                                                       小妹是103年系學會新任資訊部部長                                                  今年我們的工作重點之一為                                                         「加強經營農經系facebook粉絲專頁」                                               讓更多人可以認識農經                                                             也讓我們的曝光度增加  由衷希望學長姐也能幫我們的粉絲專頁按讚或留言指教                      祝                              學弟妹們都很希望可以得到學長姐的建議喔！！    --  ,https://www.ptt.cc/bbs/AGEC87/M.1508322143.A.D79.html,07/03/2020 00:06:39
